FAC,Hospital_Name,n1k_Patient Care Excellence,n1k_Organizational Culture & Governance,n1k_Population & Community Health,n1k_Workforce Sustainability,n1k_Health Equity & Social Accountability,n1k_Integration & Partnerships,n1k_Access & Capacity,n1k_Digital Health & Innovation,n1k_Financial Sustainability,n1k_Infrastructure & Environment,"n1k_Research, Education & Academics",n_directions,prev_Patient Care Excellence,prev_Organizational Culture & Governance,prev_Population & Community Health,prev_Workforce Sustainability,prev_Health Equity & Social Accountability,prev_Integration & Partnerships,prev_Access & Capacity,prev_Digital Health & Innovation,prev_Financial Sustainability,prev_Infrastructure & Environment,"prev_Research, Education & Academics"
592,Lennox & Addington County General Hospital,41.1,13.7,13.7,13.7,27.4,13.7,0,0,0,0,0,3,0.667,0.333,0.333,0.333,0.333,0.333,0,0,0,0,0
593,MIDDLESEX HOSPITAL ALLIANCE,46.24,17.34,17.34,5.78,28.9,17.34,11.56,17.34,5.78,17.34,0,3,1,0.667,0.667,0.333,0.667,0.333,0.333,0.667,0.333,0.667,0
596,STEVENSON MEMORIAL HOSPITAL,25.24,6.31,26.81,6.31,0,9.46,0,6.31,0,15.77,1.58,4,1,0.5,1,1,0,1,0,1,0,1,0.25
597,Mississippi River Health,48.39,0,16.13,16.13,0,40.32,0,24.19,8.06,16.13,0,4,0.25,0,0.25,0.5,0,0.5,0,0.5,0.25,0.5,0
599,Arnprior Regional Health,38.2,15.73,24.72,11.24,6.74,24.72,4.49,11.24,8.99,20.22,0,5,1,0.4,0.8,0.4,0.2,0.8,0.4,0.8,0.4,0.6,0
606,Royal Victoria Regional Health Centre,19.32,12.08,2.42,26.57,19.32,14.49,4.83,4.83,0,0,9.66,3,1,0.333,0.333,0.667,0.667,0.667,0.333,0.667,0,0,0.667
611,North Shore Health Network,14.8,25.57,8.08,12.11,10.77,12.11,2.69,1.35,4.04,5.38,9.42,3,1,1,1,1,1,1,0.667,0.333,0.667,0.667,1
619,Brockville General Hospital,45.45,25.97,32.47,12.99,19.48,25.97,19.48,6.49,6.49,19.48,0,4,0.75,0.75,0.75,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0
624,Campbellford Memorial Hospital,8.85,8.85,8.85,17.7,8.85,17.7,0,0,0,17.7,0,4,0.25,0.25,0.25,0.5,0.25,0.5,0,0,0,0.25,0
627,Services de santé de Chapleau Health Services,0,0,17.75,5.92,0,0,5.92,0,0,5.92,5.92,3,0,0,0.333,0.333,0,0,0.333,0,0,0.333,0.333
632,NORTH YORK GENERAL,39.22,14.71,29.41,19.61,9.8,24.51,24.51,29.41,0,0,4.9,5,0.8,0.4,0.6,0.4,0.2,0.6,0.6,0.8,0,0,0.2
638,MICs Group of Health Services,31.58,21.05,0,31.58,63.16,31.58,21.05,10.53,31.58,31.58,0,5,0.4,0.4,0,0.6,0.2,0.4,0.4,0.2,0.2,0.6,0
640,COLLINGWOOD G&M HOSPITAL,51.89,14.15,9.43,28.3,0,4.72,14.15,4.72,0,14.15,4.72,3,0.667,0.333,0.667,0.333,0,0.333,0.667,0.333,0,0.667,0.333
644,Cornwall Community Hospital,38.46,25.64,0,12.82,64.1,76.92,38.46,25.64,12.82,38.46,0,3,0.333,0.667,0,0.333,0.333,0.667,0.667,0.667,0.333,0.667,0
646,DEEP RIVER & DISTRICT HEALTH,32.79,27.32,27.32,32.79,16.39,10.93,10.93,5.46,0,10.93,10.93,3,1,0.667,0.667,0.667,0.667,0.667,0.333,0.333,0,0.333,0.333
647,Dryden Regional Health Centre,20.98,11.66,6.99,0,18.65,11.66,9.32,13.99,9.32,6.99,2.33,3,1,0.667,0.333,0,0.667,0.333,1,1,0.333,0.667,0.333
648,HWMH & EG,14.22,14.22,33.18,18.96,14.22,14.22,4.74,9.48,18.96,9.48,4.74,3,0.667,0.667,0.667,0.333,0.333,0.667,0.333,0.667,0.667,0.667,0.333
650,ST. JOSEPH'S GENERAL HOSPITAL ELLIOT LAKE,51.55,20.62,0,0,20.62,20.62,10.31,0,0,0,0,4,0.75,0.5,0,0,0.5,0.25,0.25,0,0,0,0
651,The Royal,33.9,42.37,8.47,4.24,12.71,21.19,21.19,16.95,12.71,8.47,25.42,5,0.6,0.8,0.4,0.2,0.4,0.8,0.4,0.6,0.2,0.4,0.6
654,Espanola & Area Family Health Team / espanola regional hospital and health centre,14.49,7.25,2.42,2.42,4.83,14.49,9.66,7.25,0,2.42,4.83,4,0.25,0.75,0.25,0.25,0.25,1,0.5,0.5,0,0.25,0.5
655,Huron Health System,15.62,5.21,15.62,7.81,0,26.04,10.42,10.42,7.81,5.21,7.81,4,0.75,0.5,0.75,0.25,0,0.5,0.25,0.5,0.25,0.25,0.5
656,Wellington Health Care Alliance,28.57,5.71,17.14,22.86,34.29,22.86,0,0,5.71,0,0,5,0.8,0.2,0.4,0.4,0.4,0.4,0,0,0.2,0,0
661,Cambridge Memorial Hospital,26.8,15.08,11.73,8.38,23.45,13.4,5.03,23.45,10.05,15.08,3.35,5,1,0.8,0.6,0.6,0.4,0.4,0.4,0.6,0.4,0.6,0.4
662,L'HÔPITAL DU DISTRICT DE GERALDTON DISTRICT HOSPITAL GERALDTON OODENA AAKOZIIWIGAMIG,7.41,7.41,22.22,22.22,0,37.04,0,22.22,0,22.22,7.41,3,0.333,0.333,1,0.333,0,0.667,0,0.667,0,0.333,0.333
665,GUELPH GENERAL HOSPITAL,47.62,0,0,47.62,0,47.62,0,0,23.81,0,0,5,0.2,0,0,0.4,0,0.4,0,0,0.2,0,0
666,St. Joseph's HEALTH CENTRE GUELPH,25.91,15.54,10.36,20.73,0,20.73,10.36,15.54,5.18,15.54,5.18,4,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.25,0.5,0.25
674,St. Joseph's Health System,0,9.62,19.23,48.08,0,28.85,0,0,0,9.62,19.23,3,0,0.333,0.333,0.333,0,0.667,0,0,0,0.333,0.333
676,HANOVER & DISTRICT HOSPITAL,10.81,16.22,27.03,21.62,0,16.22,0,5.41,16.22,0,0,4,0.25,0.75,0.75,0.25,0,0.25,0,0.25,0.25,0,0
681,Hôpital Notre-Dame Hospital (Hearst),26.55,17.7,17.7,35.4,0,44.25,0,8.85,0,0,0,4,0.5,0.5,0.5,0.5,0,0.5,0,0.25,0,0,0
684,Rural Roads,0,14.93,14.93,0,0,44.78,0,14.93,0,0,0,4,0,0.25,0.25,0,0,0.5,0,0.25,0,0,0
686,LADY DUNN HEALTH CENTRE,16.67,5.56,13.89,8.33,5.56,27.78,5.56,8.33,8.33,2.78,5.56,4,0.5,0.25,0.75,0.5,0.25,1,0.25,0.75,0.5,0.25,0.25
695,Providence Care,32.61,21.74,10.87,13.59,35.33,21.74,10.87,8.15,2.72,2.72,8.15,5,1,1,0.6,0.8,1,0.6,0.4,0.4,0.2,0.2,0.4
701,Mackenzie Health,39.56,24.18,24.18,4.4,4.4,19.78,35.16,17.58,0,6.59,26.37,5,0.8,0.4,0.6,0.2,0.2,0.4,0.8,0.8,0,0.4,0.6
704,Erie Shores HealthCare,32,13.33,26.67,8,32,26.67,10.67,13.33,8,8,5.33,4,1,0.5,0.75,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.25
707,Ross Memorial,15,5,25,15,10,20,0,15,10,10,0,4,0.5,0.25,0.25,0.5,0.25,0.75,0,0.25,0.25,0.5,0
709,Listowel Wingham HOSPITALS ALLIANCE,11.14,8.91,11.14,8.91,6.68,11.14,8.91,2.23,2.23,0,2.23,5,0.6,0.2,0.4,0.4,0.4,0.4,0.6,0.2,0.2,0,0.2
714,ST JOSEPH'S HEALTH CARE LONDON,10.17,10.17,16.95,6.78,23.73,30.51,6.78,16.95,0,3.39,10.17,3,0.667,0.333,0.667,0.333,1,0.667,0.333,0.667,0,0.333,1
718,JOSEPH BRANT HOSPITAL,59.6,19.87,6.62,13.25,19.87,13.25,0,6.62,6.62,0,0,4,0.75,0.5,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0
719,Manitoulin Health Centre,42.55,0,42.55,0,53.19,21.28,0,10.64,21.28,0,0,5,0.6,0,0.4,0,0.2,0.4,0,0.2,0.2,0,0
724,HÔPITAL DE Mattawa HOSPITAL / MAISON DES AÎNÉS Algonquin NURSING HOME,48.54,4.85,4.85,9.71,4.85,19.42,9.71,4.85,14.56,0,0,4,1,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0,0
726,GEORGIAN BAY General Hospital,34.88,11.63,19.38,19.38,34.88,31.01,0,3.88,7.75,15.5,3.88,4,0.75,0.25,0.75,0.5,0.75,1,0,0.25,0.25,0.5,0.25
732,KEMPTVILLE DISTRICT HOSPITAL,76.92,0,0,38.46,0,38.46,0,38.46,38.46,0,0,5,0.4,0,0,0.2,0,0.2,0,0.2,0.2,0,0
734,WEST HALDIMAND GENERAL HOSPITAL,26.88,14.34,21.51,21.51,8.96,17.92,7.17,21.51,10.75,8.96,10.75,5,0.8,0.8,0.8,0.4,0.6,0.8,0.6,0.4,0.4,0.4,0.8
736,Southlake Health,38.31,13.41,11.49,13.41,1.92,17.24,7.66,15.33,5.75,19.16,11.49,10,0.4,0.4,0.5,0.4,0.1,0.5,0.4,0.4,0.1,0.6,0.3
739,NIPIGON DISTRICT MEMORIAL HOSPITAL,0,19.61,9.8,9.8,19.61,9.8,9.8,39.22,9.8,0,0,3,0,0.333,0.333,0.333,0.667,0.333,0.333,0.333,0.333,0,0
745,Soldiers' MEMORIAL HOSPITAL Orillia,14.79,2.96,11.83,11.83,2.96,23.67,20.71,2.96,2.96,20.71,5.92,3,0.667,0.333,0.333,0.333,0.333,0.667,0.667,0.333,0.333,0.667,0.667
751,CHEO,15.66,6.71,8.95,29.08,17.9,13.42,11.19,11.19,0,8.95,11.19,5,0.6,0.4,0.6,0.8,0.6,0.6,0.6,0.6,0,0.6,0.8
753,Montfort Hôpital universitaire Academic Hospital,11.93,5.11,18.74,6.81,15.33,13.63,6.81,5.11,1.7,1.7,3.41,5,1,0.2,0.8,0.2,0.4,0.8,0.4,0.4,0.2,0.2,0.4
763,Pembroke Regional Hospital,12.82,12.82,20.51,5.13,12.82,15.38,2.56,17.95,5.13,7.69,2.56,7,0.571,0.286,0.429,0.143,0.286,0.429,0.143,0.429,0.286,0.286,0.143
768,ST. FRANCIS MEMORIAL HOSPITAL,68.03,27.21,6.8,27.21,0,20.41,6.8,20.41,27.21,0,6.8,4,0.75,0.5,0.25,0.5,0,0.5,0.25,0.5,0.25,0,0.25
771,Peterborough Regional Health Centre,16.88,4.22,0,12.66,4.22,25.32,25.32,21.1,8.44,12.66,12.66,5,0.6,0.2,0,0.2,0.2,0.8,0.4,0.4,0.4,0.4,0.2
777,Queensway Carleton Hospital,30.61,71.43,0,0,30.61,30.61,0,20.41,10.2,0,30.61,5,0.4,0.6,0,0,0.2,0.2,0,0.4,0.2,0,0.4
781,ST. JOSEPH'S CARE GROUP,29.41,12.61,12.61,0,37.82,12.61,4.2,29.41,21.01,8.4,4.2,7,0.571,0.143,0.429,0,0.429,0.286,0.143,0.429,0.286,0.286,0.143
788,RENFREW VICTORIA HOSPITAL,37.69,20.1,5.03,12.56,17.59,30.15,12.56,10.05,12.56,12.56,5.03,4,1,0.75,0.5,0.5,0.75,1,0.5,0.75,0.5,0.75,0.25
790,Hotel Dieu Shaver HEALTH AND REHABILITATION CENTRE,36.7,18.35,0,9.17,0,18.35,18.35,18.35,9.17,18.35,9.17,5,0.2,0.2,0,0.2,0,0.4,0.4,0.2,0.2,0.2,0.2
793,St. Thomas Elgin General Hospital,39.39,13.13,13.13,30.63,26.26,17.51,6.56,10.94,8.75,8.75,0,4,0.75,0.5,0.75,0.25,0.5,0.5,0.75,0.5,0.25,0.75,0
800,HGH,19.44,17.28,6.48,6.48,8.64,19.44,0,8.64,21.6,4.32,6.48,9,0.556,0.556,0.333,0.222,0.222,0.556,0,0.333,0.444,0.222,0.333
802,HÔPITAL Glengarry Memorial HOSPITAL,51.79,15.94,3.98,15.94,19.92,39.84,7.97,7.97,15.94,19.92,0,4,1,0.25,0.25,0.5,0.5,0.75,0.5,0.5,0.25,0.25,0
804,Norfolk GENERAL HOSPITAL,26.88,14.34,21.51,21.51,8.96,17.92,7.17,21.51,10.75,8.96,10.75,5,0.8,0.8,0.8,0.4,0.6,0.8,0.6,0.4,0.4,0.4,0.8
809,SMOOTH ROCK FALLS HOSPITAL,52.63,0,17.54,35.09,0,17.54,0,17.54,17.54,0,0,5,0.4,0,0.2,0.2,0,0.2,0,0.2,0.2,0,0
826,Lake of the Woods District Hospital,35.21,21.13,7.04,3.52,14.08,24.65,0,21.13,7.04,3.52,10.56,5,0.2,0.6,0.4,0.2,0.4,0.4,0,0.6,0.2,0.2,0.4
827,Baycrest,19.31,15.44,15.44,7.72,7.72,3.86,0,27.03,11.58,0,7.72,8,0.375,0.375,0.375,0.25,0.25,0.125,0,0.5,0.125,0,0.25
837,SickKids,38.96,7.42,1.86,7.42,16.7,5.57,5.57,16.7,0,1.86,7.42,4,1,0.25,0.25,0.25,0.75,0.5,0.25,0.75,0,0.25,0.75
850,RUNNYMEDE HEALTHCARE CENTRE,66.67,36.36,18.18,12.12,6.06,24.24,18.18,6.06,12.12,12.12,6.06,4,1,1,0.5,0.5,0.25,0.5,0.5,0.25,0.25,0.25,0.25
854,Toronto Grace Hospital,23.72,19.76,7.91,11.86,11.86,31.62,15.81,19.76,15.81,3.95,3.95,5,0.4,0.2,0.4,0.2,0.2,0.6,0.6,0.4,0.2,0.2,0.2
858,MICHAEL GARRON HOSPITAL TORONTO EAST HEALTH NETWORK,31.53,8.83,15.13,8.83,8.83,13.87,8.83,8.83,2.52,13.87,10.09,5,1,0.4,0.6,0.2,0.6,0.6,0.8,0.6,0.2,1,0.6
862,WOMEN'S COLLEGE HOSPITAL,14.42,4.81,24.04,0,28.85,19.23,4.81,24.04,4.81,4.81,4.81,3,1,0.333,1,0,0.667,0.667,0.333,0.667,0.333,0.333,0.333
881,West Nipissing General Hospital,71.43,0,0,35.71,0,71.43,0,0,35.71,0,0,5,0.2,0,0,0.2,0,0.2,0,0,0.2,0,0
882,Winchester District Memorial Hospital,30.17,17.24,12.93,21.55,0,38.79,8.62,8.62,0,12.93,8.62,4,0.5,0.5,0.75,0.25,0,0.75,0.5,0.5,0,0.25,0.5
888,L'Hôpital Temiskaming,0,8.7,0,0,0,0,0,0,0,0,0,4,0,0.25,0,0,0,0,0,0,0,0,0
890,WOODSTOCK HOSPITAL,14.18,17.73,21.28,14.18,10.64,24.82,3.55,7.09,3.55,3.55,3.55,4,0.75,0.75,1,0.5,0.5,0.75,0.25,0.25,0.25,0.25,0.25
896,Red Lake Margaret Cochenour Memorial Hospital,35.4,8.85,17.7,53.1,0,17.7,0,0,8.85,8.85,8.85,4,0.5,0.25,0.5,0.5,0,0.5,0,0,0.25,0.25,0.25
900,Riverside Health Care,0,38.46,0,0,76.92,0,0,0,0,0,0,4,0,0.25,0,0,0.25,0,0,0,0,0,0
905,Oak Valley Health,11.11,15.56,17.78,11.11,8.89,33.33,8.89,15.56,2.22,4.44,6.67,3,0.667,1,1,1,0.333,1,0.667,0.667,0.333,0.333,0.667
907,TIMMINS AND DISTRICT HOSPITAL,16.86,14.66,16.13,11.73,23.46,19.79,11,6.6,4.4,1.47,6.6,5,0.8,1,1,0.8,0.8,1,1,1,0.4,0.4,0.6
910,CASEY HOUSE,22.99,0,0,11.49,11.49,22.99,11.49,0,22.99,0,0,6,0.167,0,0,0.167,0.167,0.333,0.167,0,0.167,0,0
916,HEADWATERS Health Care Centre,57.14,3.57,17.86,17.86,21.43,14.29,14.29,17.86,7.14,10.71,7.14,4,1,0.25,1,0.25,1,0.25,0.5,0.5,0.5,0.25,0.25
927,HÔTEL-DIEU GRACE HEALTHCARE,35.97,21.58,7.19,0,21.58,7.19,0,14.39,0,0,0,3,1,0.333,0.333,0,0.667,0.333,0,0.333,0,0,0
928,Perth and Smiths Falls District Hospital,12.99,3.25,16.23,9.74,0,12.99,6.49,3.25,22.73,25.97,6.49,4,0.5,0.25,0.5,0.25,0,0.5,0.25,0.25,0.5,0.5,0.25
931,WEST PARRY SOUND HEALTH CENTRE,93.88,53.06,28.57,24.49,8.16,16.33,4.08,4.08,8.16,8.16,12.24,4,0.75,1,0.75,1,0.5,0.75,0.25,0.25,0.25,0.5,0.5
932,Bruyère Health,18.18,18.18,6.06,12.12,0,6.06,0,18.18,0,12.12,18.18,5,0.2,0.6,0.2,0.4,0,0.2,0,0.6,0,0.4,0.6
933,WINDSOR REGIONAL HOSPITAL,23.47,18.78,16.43,18.78,28.17,18.78,7.04,11.74,16.43,25.82,9.39,6,0.833,0.5,0.667,0.333,1,0.667,0.333,0.5,0.333,0.667,0.5
935,Thunder Bay Regional Health Sciences Centre<br>Thunder Bay Regional Health Research Institute,25.94,17.29,5.76,11.53,51.87,14.41,5.76,11.53,0,5.76,17.29,5,0.6,0.6,0.4,0.4,0.4,0.6,0.4,0.4,0,0.4,0.6
936,LHSC,38.89,22.22,22.22,38.89,0,33.33,11.11,0,0,16.67,5.56,3,0.667,0.667,0.333,0.333,0,0.667,0.333,0,0,0.667,0.333
938,HALIBURTON HIGHLANDS HEALTH SERVICES,51.28,25.64,0,25.64,0,25.64,0,25.64,0,25.64,0,4,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0
939,Holland Bloorview Kids Rehabilitation Hospital,8.31,13.85,5.54,11.08,19.39,13.85,11.08,22.16,0,5.54,22.16,4,0.5,0.75,0.25,0.5,0.5,0.75,0.5,0.75,0,0.5,0.75
940,NORTHUMBERLAND HILLS HOSPITAL,60,8,16,8,8,20,8,20,8,16,0,4,0.75,0.5,0.75,0.25,0.5,0.75,0.5,0.25,0.5,0.5,0
941,Humber River Health,21.43,7.14,28.57,0,57.14,28.57,14.29,21.43,0,7.14,14.29,4,0.75,0.25,0.75,0,0.25,0.5,0.5,0.5,0,0.25,0.5
942,Hamilton Health Sciences,49.5,39.6,19.8,9.9,0,0,0,19.8,19.8,9.9,19.8,4,0.5,0.5,0.5,0.25,0,0,0,0.25,0.25,0.25,0.25
946,SOUTH BRUCE GREY HEALTH CENTRE,52.02,5.78,5.78,11.56,5.78,11.56,28.9,5.78,17.34,17.34,5.78,3,1,0.333,0.333,0.333,0.333,0.333,0.667,0.333,0.333,0.333,0.333
947,UHN,22.1,2.76,0,5.52,0,16.57,0,22.1,0,5.52,8.29,3,1,0.333,0,0.667,0,1,0,1,0,0.667,0.667
948,camh,19.31,3.86,7.72,1.93,13.51,7.72,17.37,7.72,0,7.72,9.65,3,1,0.667,1,0.333,0.667,1,1,0.667,0,1,1
950,Halton Healthcare,23.44,15.62,15.62,23.44,31.25,23.44,0,31.25,0,7.81,0,4,0.25,0.5,0.25,0.5,0.25,0.25,0,0.75,0,0.25,0
951,William Osler Health System,39.57,25.18,21.58,14.39,7.19,21.58,10.79,17.99,7.19,3.6,10.79,5,0.8,0.6,0.8,0.4,0.2,0.2,0.6,0.8,0.2,0.2,0.4
952,Lakeridge Health,24.69,6.17,37.04,18.52,8.23,24.69,4.12,18.52,0,0,2.06,4,0.75,0.5,1,0.5,0.75,0.75,0.25,1,0,0,0.25
953,Sunnybrook HEALTH SCIENCES CENTRE,53.96,14.39,7.19,14.39,0,21.58,21.58,35.97,0,3.6,10.79,4,1,0.5,0.25,0.25,0,0.75,0.75,1,0,0.25,0.25
955,Grey Bruce Health Services,7.63,22.9,11.45,11.45,15.27,22.9,0,11.45,0,3.82,15.27,4,0.5,0.75,0.5,0.5,0.75,0.5,0,0.5,0,0.25,0.5
957,Quinte Health,25.64,12.82,17.09,29.91,17.09,17.09,4.27,8.55,0,8.55,4.27,4,0.75,0.5,0.5,0.75,0.5,0.5,0.25,0.5,0,0.25,0.25
958,The Ottawa Hospital L'Hôpital d'Ottawa,11.38,15.65,18.49,7.11,22.76,18.49,8.53,15.65,5.69,8.53,8.53,4,1,1,0.75,0.5,0.5,0.75,0.5,1,0.5,0.75,0.5
959,Health Sciences North,25.09,12.54,12.54,14.34,21.51,12.54,10.75,3.58,8.96,5.38,10.75,5,0.8,0.8,1,0.4,0.8,0.8,0.6,0.4,0.2,0.6,0.2
961,UNIVERSITY OF OTTAWA HEART INSTITUTE,22.56,7.52,10.03,2.51,7.52,5.01,2.51,22.56,2.51,10.03,2.51,4,0.5,0.5,0.25,0.25,0.25,0.5,0.25,0.5,0.25,0.75,0.25
962,Niagara Health,17.76,5.33,5.33,26.64,14.21,8.88,8.88,7.1,0,8.88,3.55,3,0.667,0.333,0.667,1,0.333,0.667,1,0.667,0,1,0.333
964,SIOUX LOOKOUT Meno Ya Win HEALTH CENTRE,25.93,11.11,0,11.11,51.85,18.52,11.11,18.52,11.11,11.11,3.7,7,0.286,0.286,0,0.286,0.571,0.429,0.429,0.143,0.286,0.286,0.143
965,Sault Area Hospital,15.59,11.14,15.59,11.14,17.82,15.59,8.91,2.23,8.91,4.45,8.91,3,1,0.667,1,1,0.333,0.667,0.667,0.333,0.333,0.667,0.667
967,Cornwall Community Hospital,38.46,25.64,0,12.82,64.1,76.92,38.46,25.64,12.82,38.46,0,3,0.333,0.667,0,0.333,0.333,0.667,0.667,0.667,0.333,0.667,0
969,Ontario Shores Centre for Mental Health Sciences,10.64,5.32,5.32,15.96,21.28,42.55,15.96,15.96,0,5.32,0,3,0.333,0.333,0.333,0.333,0.667,1,0.667,0.333,0,0.333,0
970,Brant Community Healthcare System,36.73,12.24,14.29,10.2,38.78,16.33,4.08,14.29,8.16,10.2,6.12,4,1,0.5,0.5,0.25,1,0.5,0.5,0.75,0.25,0.25,0.25
971,St. Joseph's Health Centre Of Sudbury,30.86,12.35,12.35,24.69,43.21,0,0,0,0,0,6.17,4,0.75,0.5,0.25,0.25,0.25,0,0,0,0,0,0.25
972,Waypoint CENTRE for MENTAL HEALTH CARE,18.52,23.15,23.15,4.63,13.89,23.15,9.26,32.41,0,9.26,23.15,4,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.75,0,0.5,0.5
973,Weeneebayko Area Health Authority,18.48,6.93,2.31,9.24,0,2.31,11.55,16.17,13.86,18.48,9.24,5,0.8,0.6,0.2,0.4,0,0.2,0.6,0.8,0.4,0.6,0.8
974,North Bay Regional Health Centre,76.92,76.92,38.46,0,0,76.92,0,76.92,76.92,0,0,5,0.4,0.4,0.2,0,0,0.2,0,0.2,0.2,0,0
975,Trillium Health partners,39.63,16.32,27.97,9.32,16.32,13.99,6.99,34.97,0,9.32,13.99,4,1,0.75,1,0.5,0.5,0.25,0.25,0.75,0,0.75,0.75
976,Sinai Health,38.82,9.32,3.11,7.76,3.11,13.98,12.42,9.32,12.42,6.21,7.76,4,1,0.75,0.25,0.5,0.25,0.75,0.75,0.75,0.5,0.5,0.5
977,NORTH OF SUPERIOR HEALTHCARE GROUP,18.52,15.43,15.43,21.6,12.35,15.43,9.26,0,9.26,15.43,6.17,4,0.75,1,0.75,0.5,0.5,0.25,0.75,0,0.25,0.25,0.5
978,Kingston Health Sciences Centre,22.92,8.6,2.87,8.6,11.46,11.46,8.6,5.73,0,2.87,17.19,5,0.6,0.4,0.2,0.4,0.2,0.8,0.4,0.2,0,0.2,0.4
979,SCARBOROUGH HEALTH NETWORK,61.73,24.69,24.69,12.35,24.69,24.69,0,24.69,0,0,12.35,5,0.4,0.2,0.2,0.2,0.4,0.2,0,0.4,0,0,0.2
980,UNITY HEALTH TORONTO,23.09,11.55,5.77,8.08,4.04,12.12,3.46,16.17,2.89,3.46,10.39,9,0.889,0.889,0.556,0.889,0.444,0.778,0.444,0.778,0.222,0.333,0.667
981,CHATHAM-KENT Health Alliance,41.67,0,20.83,13.89,13.89,6.94,20.83,0,0,6.94,6.94,6,0.5,0,0.333,0.333,0.333,0.167,0.333,0,0,0.167,0.167
982,BLANCHE RIVER HEALTH,12.5,10.42,5.56,4.86,4.17,11.11,8.33,13.89,6.25,7.64,2.08,6,0.833,0.667,0.5,0.333,0.667,1,1,0.833,0.667,0.667,0.333
983,HURON PERTH HEALTHCARE ALLIANCE,25.89,17.8,17.8,1.62,11.33,19.42,14.56,19.42,8.09,8.09,1.62,3,1,1,0.667,0.333,1,0.667,1,0.667,0.667,1,0.333
